 THREAD_ID, issueTime
0,  100000413 
0,  100087415 
0,  100109245 
0,  100126475 
0,  100139747 
0,  100161418 
0,  100184382 
0,  100214311 
0,  100333031 
0,  100361301 
0,  100377265 
0,  100399921 
0,  100416722 
0,  100443966 
0,  100459831 
0,  100468924 
0,  100568807 
0,  107874626 
0,  107913765 
0,  107927703 
0,  107939383 
0,  107957754 
0,  107973470 
0,  108002951 
0,  108018775 
0,  108048638 
0,  108066116 
0,  108097006 
0,  108112658 
0,  108134229 
0,  108150255 
0,  108173061 
0,  108189000 
0,  108215404 
0,  108231300 
0,  108256578 
0,  108274448 
0,  108303886 
0,  108325331 
0,  108349134 
0,  108365285 
0,  108395970 
0,  108413599 
0,  108433489 
0,  108449582 
0,  108533658 
0,  108599843 
0,  108622213 
0,  108642289 
0,  108728084 
0,  108755263 
0,  108773937 
0,  108796623 
0,  108838338 
0,  108862151 
0,  108867420 
0,  108872918 
0,  108876345 
0,  108877971 
0,  108879765 
0,  108881503 
0,  108885081 
0,  108886859 
0,  108888641 
0,  108892141 
0,  108893827 
0,  108895589 
0,  108897316 
0,  108899139 
0,  108900969 
0,  108900969 
0,  108902729 
0,  108904871 
0,  108907025 
0,  108907025 
0,  108910683 
0,  108912407 
0,  108912407 
0,  108915898 
0,  108918002 
0,  108918002 
0,  108919815 
0,  108942732 
0,  108946151 
0,  108949767 
0,  108953219 
0,  108953219 
0,  108956694 
0,  108956694 
0,  108958616 
0,  108960462 
0,  108962209 
0,  108964061 
0,  108965714 
0,  108967460 
0,  108969359 
0,  108971163 
0,  108972971 
0,  108974719 
0,  108976542 
0,  108980031 
0,  108981873 
0,  108983674 
0,  108987155 
0,  109001723 
0,  109005479 
0,  109007217 
0,  109008983 
0,  109010906 
0,  109014294 
0,  109016006 
0,  109029836 
0,  109036897 
0,  109043975 
0,  109049091 
0,  109050833 
0,  109054366 
0,  109056167 
0,  109057897 
0,  109073692 
0,  109079048 
0,  109084104 
0,  109085913 
0,  109087738 
0,  109389641 
0,  109393211 
0,  109394950 
0,  109398523 
0,  109400243 
0,  109401957 
0,  109403755 
0,  109405477 
0,  109407315 
0,  109407315 
0,  109409068 
0,  109410903 
0,  109412608 
0,  109414395 
0,  109421176 
0,  109422843 
0,  109424634 
0,  109426663 
0,  109426663 
0,  109428488 
0,  109430336 
0,  109432223 
0,  109432223 
0,  109434181 
0,  109436041 
0,  109437805 
0,  109439511 
0,  109439511 
0,  109444707 
0,  109446555 
0,  109448316 
0,  109448316 
0,  109450108 
0,  109451898 
0,  109453680 
0,  109455444 
0,  109455444 
0,  109457198 
0,  109458953 
0,  109464248 
0,  109464248 
0,  109465918 
0,  109467665 
0,  109469483 
0,  109469483 
0,  109471292 
0,  109473093 
0,  109474757 
0,  109476640 
0,  109478405 
0,  109478405 
0,  109480172 
0,  109482040 
0,  109483912 
0,  109483912 
0,  109485718 
0,  109487611 
0,  109489453 
0,  109491363 
0,  109493181 
0,  109496677 
0,  109498448 
0,  109498448 
0,  109500321 
0,  109505602 
0,  109505602 
0,  109526084 
0,  109531356 
0,  109543705 
0,  109549080 
0,  109575834 
0,  109580941 
0,  109584311 
0,  109586109 
0,  109587781 
0,  109589563 
0,  109589563 
0,  109591361 
0,  109593351 
0,  109595194 
0,  109596940 
0,  109596940 
0,  109598746 
0,  109600573 
0,  109602288 
0,  109604057 
0,  109604057 
0,  109605859 
0,  109607983 
0,  109614964 
0,  109616652 
0,  109616652 
0,  109618523 
0,  109620606 
0,  109622439 
0,  109624152 
0,  109624152 
0,  109626008 
0,  109627905 
0,  109629665 
0,  109631442 
0,  109631442 
0,  109633274 
0,  109635063 
0,  109636827 
0,  109636827 
0,  109638606 
0,  109640434 
0,  109642276 
0,  109643994 
0,  109645693 
0,  109647515 
0,  109649349 
0,  109649349 
0,  109662765 
0,  109664407 
0,  109666188 
0,  109666188 
0,  109667953 
0,  109669742 
0,  109671491 
0,  109674966 
0,  109676718 
0,  109678501 
0,  109680628 
0,  109682430 
0,  109682430 
0,  109684316 
0,  109686242 
0,  109687965 
0,  109689708 
0,  109689708 
0,  109691544 
0,  109695090 
0,  109696809 
0,  109698561 
0,  109698561 
0,  109702232 
0,  109704058 
0,  109707567 
0,  109709261 
0,  109711110 
0,  109711110 
0,  109712863 
0,  109714606 
0,  109740984 
0,  109746004 
0,  109749313 
0,  109751069 
0,  109752784 
0,  109754508 
0,  109756196 
0,  109761385 
0,  109763325 
0,  109765148 
0,  109766954 
0,  109770470 
0,  109772076 
0,  109773865 
0,  109775660 
0,  109775660 
0,  109777484 
